pro_com_t,<5,>=5,totale
009045,57,1527,1584
009046,9,430,439
009047,26,893,919
009048,17,770,787
009049,221,8183,8404
009050,17,609,626
009051,12,828,840
009052,187,6747,6934
009053,19,539,558
009054,21,740,761
009055,40,1716,1756
009056,1815,57134,58949
009057,76,3489,3565
009058,82,2847,2929
009059,20,809,829
009060,2,176,178
009061,85,2570,2655
009062,84,2430,2514
009063,10,660,670
009064,225,7955,8180
009065,347,12350,12697
009066,8,356,364
009067,25,782,807
009068,119,2642,2761
009069,9,282,291
010001,306,10913,11219
010002,75,2431,2506
010003,79,2453,2532
010004,147,4218,4365
010005,42,1806,1848
010006,136,5058,5194
010007,132,4955,5087
010008,79,2737,2816
010009,143,6345,6488
010010,131,3574,3705
010011,234,6509,6743
010012,85,3025,3110
010013,48,1531,1579
010014,99,3580,3679
010015,913,26331,27244
010016,71,2174,2245
010017,234,8503,8737
010018,198,5474,5672
010019,12,255,267
010020,9,509,518
010021,45,1741,1786
010022,0,70,70
010023,12,422,434
010024,2,256,258
010025,17751,548659,566410
010026,0,90,90
010027,45,1381,1426
010028,404,11948,12352
010029,66,2317,2383
010030,4,413,417
010031,35,1440,1475
010032,75,3422,3497
010033,77,2549,2626
010034,45,1411,1456
010035,92,3409,3501
010036,69,2342,2411
010037,66,2564,2630
010038,3,208,211
010039,50,1945,1995
010040,87,2087,2174
010041,15,807,822
010042,19,493,512
010043,68,2407,2475
010044,8,366,374
010045,3,122,125
010046,951,28197,29148
010047,285,9157,9442
010048,19,894,913
010049,139,4053,4192
010050,2,57,59
010051,69,2537,2606
010052,8,492,500
010053,92,2501,2593
010054,231,8493,8724
010055,149,5484,5633
010056,22,993,1015
010057,88,2950,3038
010058,248,7373,7621
010059,561,17227,17788
010060,108,3902,4010
010061,6,489,495
010062,47,2151,2198
010063,19,565,584
010064,76,2059,2135
010065,17,742,759
010066,4,366,370
010067,56,2269,2325
011001,106,4164,4270
011002,333,9792,10125
011003,51,2216,2267
011004,239,7205,7444
011005,9,813,822
011006,23,863,886
011007,38,1247,1285
011008,28,1030,1058
011009,11,507,518
011010,10,466,476
011011,254,8066,8320
011012,26,1312,1338
011013,235,5968,6203
011014,15,617,632
011015,3395,89046,92441
011016,235,9413,9648
011017,153,5110,5263
011018,14,583,597
011019,42,1341,1383
011020,233,8003,8236
011021,14,526,540
011022,69,3279,3348
011023,129,3437,3566
011024,30,1362,1392
011025,14,663,677
011026,404,9432,9836
011027,679,21018,21697
011028,25,1269,1294
011029,52,1782,1834
011030,18,748,766
011031,200,7037,7237
011032,15,473,488
012001,17,399,416
012002,216,4987,5203
012003,147,5218,5365
012004,397,9559,9956
012005,187,4619,4806
012006,155,4458,4613
012007,19,734,753
012008,51,1606,1657
012009,49,1535,1584
012010,21,646,667
012011,108,2423,2531
012012,182,5293,5475
012013,309,8484,8793
012014,104,3106,3210
012015,159,4134,4293
012016,81,2131,2212
012017,107,3087,3194
012018,35,801,836
012019,72,1669,1741
012020,54,1190,1244
012021,22,768,790
012022,45,1182,1227
012023,27,916,943
012024,45,1125,1170
